,Query,ndcg original,precision original,recall original,F-score original,ndcg reranked,precision reranked,recall reranked,F-score reranked
0,St. Mary's Church,6.703438609221231,0.6,0.011385199240986717,0.0223463687150838,4.799335406323949,0.6,0.011385199240986717,0.0223463687150838
1,Union Station,8.82887296433251,0.7,0.050359712230215826,0.09395973154362416,8.853137763632963,0.7,0.050359712230215826,0.09395973154362416
2,James Brown,7.529328077712423,0.8,0.06451612903225806,0.11940298507462686,7.423125774771295,0.8,0.06451612903225806,0.11940298507462686
3,Army nursing,8.023654580419302,0.8,0.07339449541284404,0.13445378151260504,7.820484296495209,0.7,0.06422018348623854,0.11764705882352941
4,Falcon,3.3336839546647457,0.4,0.03669724770642202,0.06722689075630252,3.331455658268514,0.3,0.027522935779816515,0.05042016806722689
5,Masonic Temple,5.161444206514496,0.5,0.05102040816326531,0.0925925925925926,5.276334025962891,0.5,0.05102040816326531,0.0925925925925926
6,Thomas Smith,7.882638096189755,0.9,0.10112359550561797,0.18181818181818182,7.530651288269427,0.8,0.0898876404494382,0.16161616161616163
7,Isis,4.816522260066594,0.6,0.06896551724137931,0.12371134020618556,4.551176219165633,0.5,0.05747126436781609,0.10309278350515463
8,Odyssey,10.161581041840885,1.0,0.11627906976744186,0.20833333333333334,10.161581041840885,1.0,0.11627906976744186,0.20833333333333334
9,Spider,0.26264953503719357,0.0,0.0,0.0,0.22106472945750374,0.0,0.0,0.0
10,Vector,6.710951064334522,0.6,0.06976744186046512,0.125,5.211587273418916,0.6,0.06976744186046512,0.125
11,Spirit,3.0746822811269827,0.4,0.04878048780487805,0.08695652173913045,3.530502752352874,0.5,0.06097560975609756,0.10869565217391303
12,Franklin,7.203864375399602,0.7,0.08641975308641975,0.15384615384615385,5.457767231716783,0.5,0.06172839506172839,0.10989010989010987
13,Charles Brown,7.663827396137301,0.9,0.11392405063291139,0.20224719101123595,7.444196008138482,0.6,0.0759493670886076,0.13483146067415733
14,Wake Up,4.2217991301578754,0.3,0.039473684210526314,0.0697674418604651,2.3293313507800333,0.3,0.039473684210526314,0.0697674418604651
15,Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Hesar, Iran",8.34111076782807,0.6,0.08108108108108109,0.14285714285714288,8.464824597436882,0.7,0.0945945945945946,0.16666666666666669
17,Skelton,9.946242762804188,1.0,0.14084507042253522,0.2469135802469136,9.946242762804188,1.0,0.14084507042253522,0.2469135802469136
18,Gypsy,6.737102457499636,0.5,0.07246376811594203,0.12658227848101267,6.862006509150522,0.5,0.07246376811594203,0.12658227848101267
19,Discovery,4.3237368166084895,0.6,0.08955223880597014,0.1558441558441558,4.032101110950558,0.5,0.07462686567164178,0.12987012987012986
